Date,Latitude,Longitude,Humidity,Rainfall,Soil_Moisture,Flood_Occurred,Elevation,Slope,Water_Occurrence_Percent,Max_Temp,Population,Population_Density,Sex_Ratio
2001-01-31 00:00:00,24,96.25,20.52,0,0.16,0,162,3.704791834,0,22.76,1060931.894,376.4817094,801.4518473
2001-02-08 00:00:00,24.5,94.375,31.56,0,0.17,0,316,13.74060401,0,24.29,1065654.919,376.9542486,786.7089864
2001-02-14 00:00:00,24,95.625,18.67,0,0.16,0,918,18.02027076,0,27.41,1062952.598,378.8137773,799.734522
2001-02-19 00:00:00,28,90.625,78.53,0,0.63,0,5178,2.130776922,0,25.76,1127792.091,511.4617388,878.3836408
2001-02-21 00:00:00,28,89.375,78.42,0,0.55,0,4574,3.85000529,0,28.8,1145023.13,512.1431131,886.8185216
2001-06-02 00:00:00,28,95,72.46,150.73,0.63,1,778,9.143156283,0,33.16,933398.4554,291.5060115,850.5450325
2001-06-02 00:00:00,27,92.5,83.34,145.01,0.71,1,783,4.246396165,0,34.75,1342989.106,415.6656905,838.5157949
2001-06-02 00:00:00,28,95.625,68.54,144.21,0.62,1,151,5.552739341,0,33.43,1129845.522,328.172958,870.7266538
2001-06-02 00:00:00,27,93.125,78.16,126.34,0.61,1,379,26.97429045,0,34.63,1494708.462,387.2684822,881.2457454
2001-06-02 00:00:00,28,93.125,82.7,121.64,0.69,1,1484,15.4019647,0,33.6,1150248.131,392.1062653,842.7359317
2001-06-02 00:00:00,26,91.875,80.14,118.53,0.84,1,335,11.18729467,0,34.07,1034089.844,417.3090319,734.1350662
2001-06-02 00:00:00,26,92.5,84.41,112.37,0.75,1,145,17.11287737,0,33.88,1032490.034,319.8429983,616.881716
2001-06-02 00:00:00,28,93.75,80.86,107.66,0.67,1,566,36.51709514,0,33.7,1054267.623,360.1613625,847.1687069
2001-06-02 00:00:00,26,91.25,76.55,105.68,0.8,1,45,2.121724521,0,34.18,1201414.581,566.5375383,902.5801885
2001-06-03 00:00:00,24.5,96.25,51.62,130.94,0.16,1,247,5.537518734,0,31.9,1052833.758,367.2718403,797.9093142
2001-06-03 00:00:00,24.5,95.625,48.78,127.56,0.16,1,254,2.780288516,0,31.9,1054400.039,368.0582633,795.4292991
2001-06-03 00:00:00,24.5,94.375,63.32,125.19,0.34,1,316,13.74060401,0,31.69,1065654.919,376.9542486,786.7089864
2001-06-03 00:00:00,24.5,95,48.35,117.63,0.19,1,186,4.79645843,0,31.89,1060089.799,371.3586956,792.9533536
2001-06-04 00:00:00,28,89.375,80.52,118.75,0.57,1,4574,3.85000529,0,31.87,1145023.13,512.1431131,886.8185216
2001-06-04 00:00:00,27,91.875,93.89,116.63,0.73,1,1155,47.25759815,0,34.79,1053941.974,502.6156764,845.1698758
2001-06-04 00:00:00,27.5,96.25,71.35,112.83,0.58,1,261,8.306405605,0,31.67,1141581.036,332.712808,861.0230468
2001-06-04 00:00:00,27,92.5,93.1,111.91,0.73,1,783,4.246396165,0,30.95,1342989.106,415.6656905,838.5157949
2001-06-04 00:00:00,28,90,84.33,109.37,0.62,1,3996,30.30639478,0,32.16,1133995.316,513.0941557,886.4215478
2001-06-04 00:00:00,27,90.625,84.52,108.8,0.76,1,1630,27.03129584,0,34.63,1097549.765,571.529636,922.2945847
2001-06-04 00:00:00,27,91.25,88.31,106.88,0.77,1,1597,8.352400023,0,34.61,1108121.476,580.8608837,894.2881302
2001-06-04 00:00:00,27,90,84.53,106.88,0.72,1,2073,30.77902226,0,34.63,1096215.581,494.8594977,927.8926248
2001-06-04 00:00:00,26.5,90,85.13,102.29,0.69,1,54,1.036265725,0,33.94,985907.5561,353.6565028,953.4987731
2001-06-04 00:00:00,27,93.125,84.5,99.68,0.64,1,379,26.97429045,0,30.73,1494708.462,387.2684822,881.2457454
2001-06-05 00:00:00,27,94.375,86.44,119.89,0.68,1,85,3.119755432,47,32.34,979381.6012,353.292211,859.3264064
2001-06-05 00:00:00,24,94.375,73.86,113.4,0.49,1,313,13.78733297,0,32.75,1071056.068,392.9469879,797.800351
2001-06-05 00:00:00,26,93.75,87.41,109.77,0.68,1,159,2.121724521,0,32.96,1132101.997,322.5579957,863.0176521
2001-06-05 00:00:00,24,93.75,84.98,104.6,0.64,1,951,23.6908634,0,32.8,1075727.19,411.3530818,806.9925776
2001-06-08 00:00:00,27.5,95.625,66.7,134,0.64,1,148,6.36190334,0,31.98,1312417.022,348.0507931,944.655628
2001-06-20 00:00:00,27,95.625,75.39,217.4,0.61,1,1976,18.03617646,0,28.65,1017876.378,302.9998845,780.3291587
2001-06-21 00:00:00,24,89.375,85.9,119.06,0.9,1,13,2.029681014,23,27.06,1166938.04,516.8330104,869.5516205
2001-06-21 00:00:00,24,90,87.29,106.77,0.91,1,10,2.959277052,0,28.48,1153902.679,511.8939313,865.3379274
2001-06-26 00:00:00,26,92.5,77.36,100.92,0.76,1,145,17.11287737,0,31.3,1032490.034,319.8429983,616.881716
2001-06-29 00:00:00,24.5,95.625,45.15,122.58,0.24,1,254,2.780288516,0,29.77,1054400.039,368.0582633,795.4292991
2001-06-29 00:00:00,26,90,84.6,108.66,0.71,1,37,3.460128429,27,31.55,1925514.597,885.3850676,952.4359096
2001-06-29 00:00:00,26,89.375,83.18,105.38,0.65,1,40,1.387214116,0,30.07,1377346.804,630.6165596,924.9087508
2001-06-29 00:00:00,27,90.625,88.58,104.39,0.77,1,1630,27.03129584,0,28.96,1097549.765,571.529636,922.2945847
2001-06-29 00:00:00,27,91.25,84.81,99.72,0.8,1,1597,8.352400023,0,28.67,1108121.476,580.8608837,894.2881302
2001-07-05 00:00:00,26.5,93.75,76.74,235.4,0.68,1,111,3.106089799,0,23.71,1095938.112,318.230555,938.6852419
2001-07-05 00:00:00,25.5,93.75,68.84,164.74,0.59,1,1138,23.86620364,0,24.64,1046041.463,320.7954955,747.6821411
2001-07-05 00:00:00,27.5,95.625,59.88,157.75,0.52,1,148,6.36190334,0,23.6,1312417.022,348.0507931,944.655628
2001-07-05 00:00:00,25.5,93.125,78.26,149.2,0.67,1,158,4.500283366,0,24.55,506588.4146,150.1992987,340.5755713
2001-07-05 00:00:00,27.5,95,67.6,147.06,0.63,1,115,1.045520478,0,24.03,1007184.763,304.6765257,856.2672002
2001-07-05 00:00:00,24.5,93.125,80.56,146.7,0.67,1,495,33.85492634,0,25.27,1184380.079,438.6855122,850.1786214
2001-07-05 00:00:00,27,92.5,68.05,128.2,0.71,1,783,4.246396165,0,23.31,1342989.106,415.6656905,838.5157949
2001-07-05 00:00:00,26.5,94.375,72.71,124.75,0.64,1,310,22.96585829,0,23.35,1032309.139,348.1394654,874.5515875
2001-07-05 00:00:00,24.5,92.5,85.2,110.69,0.86,1,67,5.082944257,0,26.03,785698.0512,515.6490579,941.8470812
2001-07-05 00:00:00,26.5,95,67.05,104.23,0.56,1,1363,17.77529035,0,24.58,801932.2369,260.6589194,647.2921686
2001-07-08 00:00:00,27,90.625,73.37,115.07,0.75,1,1630,27.03129584,0,25.52,1097549.765,571.529636,922.2945847
2001-07-08 00:00:00,26.5,91.875,77.81,104.6,0.78,1,64,0.927409937,0,24.59,946904.7124,513.2306579,843.346228
2001-07-09 00:00:00,24.5,91.25,88.74,169.7,0.89,1,8,2.754061965,35,20.5,1111146.028,497.5796571,852.1388821
2001-07-09 00:00:00,26.5,96.25,61.93,141.23,0.48,1,240,5.545809412,0,23.78,1019675.236,323.8399696,788.1767758
2001-07-09 00:00:00,26,90.625,81.53,122.8,0.8,1,58,3.228316007,0,21.01,1011267.679,554.1086509,963.327597
2001-07-09 00:00:00,24.5,90.625,90.25,121.75,0.86,1,14,1.377826843,0,20.53,1145969.809,516.3333924,865.7935515
2001-07-09 00:00:00,27,89.375,88.75,119.12,0.66,1,2095,5.881075529,0,23.59,1173520.393,529.720802,913.6945674
2001-07-09 00:00:00,26,91.25,80.39,115.21,0.8,1,45,2.121724521,0,20.99,1201414.581,566.5375383,902.5801885
2001-07-09 00:00:00,25,94.375,68.71,103.96,0.51,1,896,29.92813998,0,23.75,1059131.652,358.1092767,780.8804119
2001-07-09 00:00:00,26,91.875,81.33,102.2,0.86,1,335,11.18729467,0,22.32,1034089.844,417.3090319,734.1350662
2001-07-09 00:00:00,25,93.125,75.61,102.06,0.71,1,273,24.61800993,0,24.21,1036267.62,327.4890884,659.7502846
2001-07-09 00:00:00,25,93.75,73.78,99.58,0.59,1,1389,40.20041017,0,23.75,1030757.104,346.8261096,731.5148428
2001-07-11 00:00:00,24,95.625,47.88,204.17,0.22,1,918,18.02027076,0,25.52,1062952.598,378.8137773,799.734522
2001-07-11 00:00:00,25,96.25,41.58,153.43,0.21,1,292,2.245937914,0,25.96,1041778.355,356.7352138,793.6961251
2001-07-11 00:00:00,24,96.25,42.37,110.4,0.25,1,162,3.704791834,0,26.08,1060931.894,376.4817094,801.4518473
2001-07-11 00:00:00,24.5,89.375,89.2,102.44,0.79,1,14,1.01915669,0,26.64,1193977.13,537.1392177,880.543545
2001-07-14 00:00:00,26,95.625,63.33,220,0.4,1,243,21.36966497,0,22.06,979432.3765,319.9885263,761.7332066
2001-07-14 00:00:00,27.5,89.375,85.42,112.57,0.68,1,3572,14.07258076,0,22.61,1152630.309,521.487739,899.6121491
2001-07-23 00:00:00,26,95,63.6,99.89,0.52,1,1159,16.14846297,0,18.05,971991.6141,317.9300536,763.2019529
2001-07-28 00:00:00,28,96.25,82.46,115.07,0.73,1,747,30.16808105,0,29.67,1115660.069,333.6863501,853.924813
2001-07-28 00:00:00,28,95.625,85.03,100.68,0.8,1,151,5.552739341,0,29.59,1129845.522,328.172958,870.7266538
2001-08-01 00:00:00,24,93.75,85.28,172.16,0.52,1,951,23.6908634,0,28.98,1075727.19,411.3530818,806.9925776
2001-08-01 00:00:00,26,89.375,88.6,103.74,0.85,1,40,1.387214116,0,31.18,1377346.804,630.6165596,924.9087508
2001-08-01 00:00:00,25.5,96.25,64.12,101.4,0.21,1,454,14.55406443,0,29.81,1027739.781,344.929585,788.4225836
2001-08-12 00:00:00,28,93.75,86,258.39,0.79,1,566,36.51709514,0,33.26,1054267.623,360.1613625,847.1687069
2001-08-12 00:00:00,28,93.125,90.3,124.63,0.79,1,1484,15.4019647,0,33.69,1150248.131,392.1062653,842.7359317
2001-08-12 00:00:00,28,94.375,84.85,110.81,0.79,1,1673,32.25288219,0,33.44,916871.5409,303.5845235,853.2421467
2001-08-16 00:00:00,28,95,80.4,100.76,0.78,1,778,9.143156283,0,29.22,933398.4554,291.5060115,850.5450325
2001-08-29 00:00:00,27,89.375,85.23,145.49,0.8,1,2095,5.881075529,0,28.52,1173520.393,529.720802,913.6945674
2001-12-01 00:00:00,25,94.375,38.06,0,0.44,0,896,29.92813998,0,31.36,1059131.652,358.1092767,780.8804119
2001-12-01 00:00:00,27.5,90,60.67,0,0.64,0,1629,25.94370205,0,26.22,1127967.22,522.1263104,903.6848417
2001-12-02 00:00:00,26.5,89.375,72.66,0,0.68,0,61,0.927409937,0,34.65,1255729.851,566.0276214,923.9723676
2001-12-05 00:00:00,26.5,89.375,74.06,0,0.66,0,61,0.927409937,0,33.91,1255729.851,566.0276214,923.9723676
2001-12-06 00:00:00,26.5,95,65.65,0,0.54,0,1363,17.77529035,0,32.41,801932.2369,260.6589194,647.2921686
2001-12-07 00:00:00,24.5,90.625,78.21,0,0.66,0,14,1.377826843,0,30.16,1145969.809,516.3333924,865.7935515
2001-12-09 00:00:00,27,89.375,82.04,0,0.72,0,2095,5.881075529,0,31.34,1173520.393,529.720802,913.6945674
2001-12-14 00:00:00,26,89.375,78.67,0,0.63,0,40,1.387214116,0,27.18,1377346.804,630.6165596,924.9087508
2001-12-15 00:00:00,25,95,28.72,0,0.23,0,123,0,96,26.41,1049132.258,356.9621549,789.3135905
2001-12-22 00:00:00,25.5,90,74.61,0,0.65,0,90,14.09969849,0,25.02,1363203.105,641.3670151,923.1213404
2001-12-28 00:00:00,25.5,96.25,41.42,0,0.2,0,454,14.55406443,0,23.07,1027739.781,344.929585,788.4225836
2001-12-30 00:00:00,28,89.375,60.99,0,0.6,0,4574,3.85000529,0,25.99,1145023.13,512.1431131,886.8185216
2001-12-31 00:00:00,25.5,92.5,74.41,0,0.75,0,1059,15.38648349,0,28.59,947206.029,335.20683,642.6892627
2002-01-05 00:00:00,27,90,55.8,0,0.71,0,2073,30.77902226,0,26.74,1096215.581,494.8594977,927.8926248
2002-01-20 00:00:00,24,95.625,35.63,0,0.19,0,918,18.02027076,0,32.99,1062952.598,378.8137773,799.734522
2002-01-20 00:00:00,27.5,90.625,75.79,0,0.67,0,3069,7.172834959,0,28.37,1120674.625,536.441065,895.6601369
2002-01-25 00:00:00,24,93.75,49.84,0,0.26,0,951,23.6908634,0,33.2,1075727.19,411.3530818,806.9925776
2002-01-26 00:00:00,24,89.375,46.54,0,0.46,0,13,2.029681014,23,34.02,1166938.04,516.8330104,869.5516205
2002-01-28 00:00:00,25,91.875,62.01,0,0.69,0,12,0,1,30.28,1096733.448,491.7526579,834.8765302
2002-01-30 00:00:00,25,95.625,40.52,0,0.2,0,263,6.185746724,0,34.07,1040734.766,355.3529265,790.2260147
2002-01-31 00:00:00,26.5,95.625,59.76,0,0.54,0,508,25.27460043,0,30.23,939225.6032,297.176187,734.7904717
